hs6_from,hs6_to,relationship
151321,151321,1:01
151329,151329,1:01
151411,151411,1:01
151419,151419,1:01
151491,151491,1:01
151499,151499,1:01
151511,151511,1:01
151519,151519,1:01
151521,151521,1:01
151529,151529,1:01
151530,151530,1:01
151550,151550,1:01
151560,151590,n:1
151590,151590,n:1
151610,151610,1:01
151620,151620,n:1
151630,151620,n:1
151710,151710,1:01
151790,151790,1:01
151800,151800,1:01
152000,152000,1:01
152110,152110,1:01
152190,152190,1:01
152200,152200,1:01
160100,41000,n:n
160100,160100,1:n
160100,210690,n:n
160210,41000,n:n
160210,160210,1:n
160210,210690,n:n
160220,160220,1:01
160231,160231,1:01
160232,160232,1:01
160239,160239,1:01
160241,160241,1:01
160242,160242,1:01
160249,160249,1:01
160250,160250,1:01
160290,41000,n:n
160290,160290,1:n
160290,170490,n:n
160290,180690,n:n
160290,190190,n:n
160290,190490,n:n
160290,210690,n:n
160300,160300,1:01
160411,160411,1:01
160412,160412,1:01
160413,160413,1:01
160414,160414,1:01
160415,160415,1:01
160416,160416,1:01
160417,160417,1:01
160418,160419,n:1
160419,160419,n:1
160420,160420,1:01
160431,160431,1:01
160432,160432,1:01
160510,160510,1:01
160521,160521,1:01
160529,160529,1:01
160530,160530,1:01
160540,160540,1:01
160551,160551,1:01
160552,160552,1:01
160553,160553,1:01
160554,160554,1:n
160554,160559,n:n
160555,160555,1:01
160556,160556,1:01
160557,160557,1:01
160558,160558,1:01
160559,160559,n:1
160561,160561,1:01
160562,160562,1:01
160563,160563,1:01
160569,160569,1:01
170112,170112,1:01
170113,170113,1:01
170114,170114,1:01
170191,170191,1:01
170199,170199,1:01
170211,170211,1:01
170219,170219,1:01
170220,170220,1:01
170230,170230,1:01
170240,170240,1:01
170250,170250,1:01
170260,170260,1:01
170290,170290,1:01
170310,170310,1:01
170390,170390,1:01
170410,170410,1:01
170490,170490,n:1
180100,180100,1:01
180200,180200,1:01
180310,180310,1:01
180320,180320,1:01
180400,180400,1:01
180500,180500,1:01
180610,180610,1:01
180620,180620,1:01
180631,180631,1:01
180632,180632,1:01
180690,180690,n:1
190110,190110,1:01
190120,190120,1:01
190190,190190,n:1
190211,190211,1:01
190219,190219,1:01
190220,190220,1:01
190230,190230,1:01
190240,190240,1:01
190300,190300,1:01
190410,190410,1:01
190420,190420,1:01
190430,190430,1:01
190490,190490,n:1
190510,190510,1:01
190520,190520,1:01
190531,190531,1:01
190532,190532,1:01
190540,190540,1:01
190590,190590,1:01
200110,200110,1:01
200190,200190,1:01
200210,200210,1:01
