hs6_2012,hts8_2012
091099,09109960
100111,10011100
100119,10011900
100191,10019100
100199,10019900
100210,10021000
100290,10029000
100310,10031000
100390,10039020
100390,10039040
100410,10041000
100490,10049000
100510,10051000
100590,10059020
100590,10059040
100610,10061000
100620,10062020
100620,10062040
100630,10063010
100630,10063090
100640,10064000
100710,10071000
100790,10079000
100810,10081000
100821,10082100
100829,10082900
100830,10083000
100840,10084000
100850,10085000
100860,10086000
100890,10089001
110100,11010000
110220,11022000
110290,11029020
110290,11029025
110290,11029027
110290,11029030
110290,11029060
110311,11031100
110313,11031300
110319,11031912
110319,11031914
110319,11031990
110320,11032000
110412,11041200
110419,11041910
110419,11041990
110422,11042200
110423,11042300
110429,11042910
110429,11042990
110430,11043000
110510,11051000
110520,11052000
110610,11061000
110620,11062010
110620,11062090
110630,11063020
110630,11063040
110710,11071000
110720,11072000
110811,11081100
110812,11081200
110813,11081300
110814,11081400
110819,11081900
110820,11082000
110900,11090010
110900,11090090
120110,12011000
120190,12019000
120230,12023005
120230,12023040
120230,12023080
120241,12024105
120241,12024140
120241,12024180
120242,12024205
120242,12024240
120242,12024280
120300,12030000
120400,12040000
120510,12051000
120590,12059000
120600,12060000
120710,12071000
120721,12072100
120729,12072900
120730,12073000
120740,12074000
120750,12075000
120760,12076000
120770,12077000
120791,12079100
120799,12079903
120810,12081000
120890,12089000
120910,12091000
120921,12092100
120922,12092220
120922,12092240
120923,12092300
120924,12092400
120925,12092500
120929,12092910
120929,12092991
120930,12093000
120991,12099110
120991,12099120
120991,12099140
120991,12099150
120991,12099160
120991,12099180
120999,12099920
120999,12099941
121010,12101000
121020,12102000
121120,12112000
121130,12113000
121140,12114000
121190,12119020
121190,12119040
121190,12119060
121190,12119091
121221,12122100
121229,12122900
121291,12129100
121292,12129200
121293,12129300
121294,12129400
121299,12129920
121299,12129930
121299,12129992
121300,12130000
121410,12141000
121490,12149000
130120,13012000
130190,13019040
130190,13019091
130211,13021100
130212,13021200
130213,13021300
130219,13021921
130219,13021940
130219,13021991
130220,13022000
130231,13023100
130232,13023200
130239,13023900
140110,14011000
140120,14012020
140120,14012040
140190,14019020
140190,14019040
140420,14042000
140490,14049010
140490,14049020
140490,14049030
140490,14049040
140490,14049090
150110,15011000
150120,15012000
150190,15019000
150210,15021000
150290,15029000
150300,15030000
150410,15041020
150410,15041040
150420,15042020
150420,15042040
150420,15042060
150430,15043000
150500,15050010
150500,15050090
150600,15060000
150710,15071000
150790,15079020
150790,15079040
150810,15081000
150890,15089000
150910,15091020
150910,15091040
150990,15099020
150990,15099040
151000,15100020
151000,15100040
151000,15100060
151110,15111000
151190,15119000
151211,15121100
151219,15121900
151221,15122100
151229,15122900
151311,15131100
151319,15131900
151321,15132100
151329,15132900
151411,15141100
151419,15141900
151491,15149110
151491,15149190
151499,15149910
151499,15149950
151499,15149990
151511,15151100
151519,15151900
151521,15152100
151529,15152900
151530,15153000
151550,15155000
151590,15159021
151590,15159060
151590,15159080
151610,15161000
151620,15162010
151620,15162090
151710,15171000
151790,15179010
151790,15179020
151790,15179045
151790,15179050
151790,15179060
151790,15179090
151800,15180020
151800,15180040
152000,15200000
152110,15211000
152190,15219020
152190,15219040
152200,15220000
160100,16010020
160100,16010040
160100,16010060
160210,16021000
160220,16022020
160220,16022040
160231,16023100
160232,16023200
160239,16023900
160241,16024110
160241,16024120
160241,16024190
160242,16024220
160242,16024240
160249,16024910
160249,16024920
160249,16024940
160249,16024960
160249,16024990
160250,16025005
160250,16025009
160250,16025010
160250,16025020
160250,16025060
160250,16025090
160290,16029010
160290,16029090
160300,16030010
160300,16030090
160411,16041120
160411,16041140
160412,16041220
160412,16041240
160412,16041260
160413,16041310
160413,16041320
160413,16041330
160413,16041340
160413,16041390
160414,16041410
160414,16041422
160414,16041430
160414,16041440
160414,16041450
160414,16041470
160414,16041480
160415,16041500
160416,16041620
160416,16041640
160416,16041660
160417,16041710
160417,16041740
160417,16041750
160417,16041760
160417,16041780
160419,16041910
160419,16041921
160419,16041925
160419,16041931
160419,16041941
160419,16041951
160419,16041961
160419,16041981
160420,16042005
160420,16042010
160420,16042015
160420,16042020
160420,16042025
160420,16042030
160420,16042040
160420,16042050
160420,16042060
160431,16043100
160432,16043230
160432,16043240
160510,16051005
160510,16051020
160510,16051040
160510,16051060
160521,16052105
160521,16052110
160529,16052905
160529,16052910
160530,16053005
160530,16053010
160540,16054005
160540,16054010
160551,16055105
160551,16055140
160551,16055150
160552,16055205
160552,16055260
160553,16055305
160553,16055360
160554,16055405
160554,16055460
160555,16055505
160555,16055560
160556,16055605
160556,16055610
160556,16055615
160556,16055620
160556,16055630
160556,16055660
160557,16055705
160557,16055760
160558,16055805
160558,16055855
160559,16055905
160559,16055960
160561,16056100
160562,16056200
160563,16056300
160569,16056900
170112,17011205
170112,17011210
170112,17011250
170113,17011305
170113,17011310
170113,17011320
170113,17011350
170114,17011405
170114,17011410
170114,17011420
170114,17011450
170191,17019105
170191,17019110
170191,17019130
170191,17019142
170191,17019144
170191,17019148
170191,17019152
170191,17019154
170191,17019158
170191,17019180
170199,17019905
170199,17019910
170199,17019950
170211,17021100
170219,17021900
170220,17022022
170220,17022024
170220,17022028
170220,17022040
170230,17023022
170230,17023024
170230,17023028
170230,17023040
170240,17024022
170240,17024024
170240,17024028
170240,17024040
170250,17025000
170260,17026022
170260,17026024
170260,17026028
170260,17026040
170290,17029005
170290,17029010
170290,17029020
170290,17029035
170290,17029040
170290,17029052
170290,17029054
170290,17029058
170290,17029064
170290,17029068
170290,17029090
170310,17031030
170310,17031050
170390,17039030
170390,17039050
170410,17041000
170490,17049010
170490,17049025
170490,17049035
170490,17049052
170490,17049054
170490,17049058
170490,17049064
170490,17049068
170490,17049074
170490,17049078
170490,17049090
180100,18010000
180200,18020000
180310,18031000
180320,18032000
180400,18040000
180500,18050000
180610,18061005
180610,18061010
180610,18061015
180610,18061022
180610,18061024
180610,18061028
180610,18061034
180610,18061038
180610,18061043
180610,18061045
180610,18061055
180610,18061065
180610,18061075
180620,18062020
180620,18062022
180620,18062024
180620,18062026
180620,18062028
180620,18062034
180620,18062036
180620,18062038
180620,18062050
180620,18062060
180620,18062067
180620,18062071
180620,18062073
180620,18062075
180620,18062077
180620,18062078
180620,18062079
180620,18062081
180620,18062082
180620,18062083
180620,18062085
180620,18062087
180620,18062089
180620,18062091
180620,18062094
180620,18062095
180620,18062098
180620,18062099
180631,18063100
180632,18063201
180632,18063204
180632,18063206
180632,18063208
180632,18063214
180632,18063216
180632,18063218
180632,18063230
180632,18063255
180632,18063260
180632,18063270
180632,18063280
180632,18063290
180690,18069001
180690,18069005
180690,18069008
180690,18069010
180690,18069015
180690,18069018
180690,18069020
180690,18069025
180690,18069028
180690,18069030
180690,18069035
180690,18069039
180690,18069045
180690,18069049
180690,18069055
180690,18069059
180690,18069090
190110,19011005
190110,19011015
190110,19011030
190110,19011035
190110,19011040
190110,19011045
190110,19011055
190110,19011060
190110,19011075
190110,19011080
190110,19011085
190110,19011095
190120,19012002
190120,19012005
190120,19012015
190120,19012020
190120,19012025
190120,19012030
190120,19012035
190120,19012040
190120,19012042
190120,19012045
190120,19012050
190120,19012055
190120,19012060
190120,19012065
190120,19012070
190120,19012080
190190,19019010
190190,19019020
190190,19019025
190190,19019028
190190,19019032
190190,19019033
190190,19019034
190190,19019036
190190,19019038
190190,19019042
190190,19019043
190190,19019044
190190,19019046
190190,19019047
190190,19019048
190190,19019052
190190,19019054
190190,19019056
190190,19019058
190190,19019070
190190,19019090
190211,19021120
190211,19021140
190219,19021920
190219,19021940
190220,19022000
190230,19023000
190240,19024000
190300,19030020
190300,19030040
190410,19041000
190420,19042010
190420,19042090
190430,19043000
190490,19049001
190510,19051000
190520,19052000
190531,19053100
190532,19053200
190540,19054000
190590,19059010
190590,19059090
200110,20011000
200190,20019010
200190,20019020
200190,20019025
200190,20019030
200190,20019033
200190,20019034
200190,20019035
200190,20019038
200190,20019042
200190,20019045
200190,20019048
200190,20019050
200190,20019060
200210,20021000
200290,20029040
200290,20029080
200310,20031001
200390,20039010
200390,20039080
200410,20041040
200410,20041080
200490,20049010
200490,20049080
200490,20049085
200510,20051000
200520,20052000
200540,20054000
200551,20055120
200551,20055140
200559,20055900
200560,20056000
200570,20057002
200570,20057004
200570,20057006
200570,20057008
200570,20057012
200570,20057016
200570,20057018
200570,20057023
200570,20057025
200570,20057050
200570,20057060
200570,20057070
200570,20057075
200570,20057091
200570,20057093
200570,20057097
200580,20058000
200591,20059160
200591,20059197
200599,20059910
200599,20059920
200599,20059930
200599,20059941
200599,20059950
200599,20059955
200599,20059980
200599,20059985
200599,20059997
200600,20060020
200600,20060030
200600,20060040
200600,20060050
200600,20060060
200600,20060070
200600,20060090
200710,20071000
200791,20079110
200791,20079140
200791,20079190
200799,20079905
200799,20079910
200799,20079915
200799,20079920
200799,20079925
200799,20079930
200799,20079935
200799,20079940
200799,20079945
200799,20079948
200799,20079950
200799,20079955
200799,20079960
200799,20079965
200799,20079970
200799,20079975
200811,20081102
200811,20081105
200811,20081115
200811,20081122
200811,20081125
200811,20081135
200811,20081142
200811,20081145
200811,20081160
200819,20081910
200819,20081915
200819,20081920
200819,20081925
200819,20081930
200819,20081940
200819,20081950
200819,20081985
200819,20081990
200820,20082000
200830,20083010
200830,20083020
200830,20083030
200830,20083035
200830,20083037
200830,20083040
200830,20083042
200830,20083046
200830,20083048
200830,20083055
200830,20083060
200830,20083066
200830,20083070
200830,20083080
200830,20083085
200830,20083096
200840,20084000
200850,20085020
200850,20085040
200860,20086000
200870,20087010
200870,20087020
200880,20088000
200891,20089100
200893,20089300
200897,20089710
200897,20089790
200899,20089905
200899,20089910
200899,20089913
200899,20089915
200899,20089918
200899,20089921
200899,20089923
200899,20089925
200899,20089928
200899,20089929
200899,20089930
200899,20089935
200899,20089940
200899,20089945
200899,20089950
200899,20089960
200899,20089961
200899,20089963
200899,20089965
200899,20089970
200899,20089971
200899,20089980
200899,20089990
200911,20091100
200912,20091225
200912,20091245
200919,20091900
200921,20092120
200921,20092140
200929,20092900
200931,20093110
200931,20093120
200931,20093140
200931,20093160
200939,20093910
200939,20093920
200939,20093960
200941,20094120
200941,20094140
200949,20094920
200949,20094940
200950,20095000
200961,20096100
200969,20096900
200971,20097100
200979,20097900
200981,20098100
200989,20098920
200989,20098940
200989,20098960
200989,20098980
200990,20099020
200990,20099040
210111,21011121
210111,21011129
210112,21011232
210112,21011234
210112,21011238
210112,21011244
210112,21011248
210112,21011254
210112,21011258
210112,21011290
210120,21012020
210120,21012032
210120,21012034
210120,21012038
210120,21012044
210120,21012048
210120,21012054
210120,21012058
210120,21012090
210130,21013000
210210,21021000
210220,21022020
210220,21022040
210220,21022060
210230,21023000
210310,21031000
210320,21032020
210320,21032040
210330,21033020
210330,21033040
210390,21039020
210390,21039040
210390,21039072
210390,21039074
210390,21039078
210390,21039080
210390,21039090
210410,21041000
210420,21042000
210500,21050005
210500,21050010
210500,21050020
210500,21050025
210500,21050030
210500,21050040
210500,21050050
210610,21061000
210690,21069003
210690,21069006
210690,21069009
210690,21069012
210690,21069015
210690,21069018
210690,21069022
210690,21069024
210690,21069026
210690,21069028
210690,21069032
210690,21069034
210690,21069036
210690,21069038
210690,21069039
210690,21069042
210690,21069044
210690,21069046
210690,21069048
210690,21069052
210690,21069054
210690,21069058
210690,21069062
210690,21069064
210690,21069066
210690,21069068
210690,21069072
210690,21069074
210690,21069076
210690,21069078
210690,21069080
210690,21069082
210690,21069083
210690,21069085
210690,21069087
210690,21069089
210690,21069091
210690,21069092
210690,21069094
210690,21069095
210690,21069097
210690,21069099
220110,22011000
220190,22019000
220210,22021000
220290,22029010
220290,22029022
220290,22029024
220290,22029028
220290,22029030
220290,22029035
220290,22029036
220290,22029036
220290,22029037
220290,22029090
220300,22030000
220410,22041000
220421,22042120
220421,22042130
220421,22042150
220421,22042160
220421,22042180
220429,22042920
220429,22042940
220429,22042960
220429,22042980
220430,22043000
220510,22051030
220510,22051060
220590,22059020
220590,22059040
220590,22059060
220600,22060015
220600,22060030
220600,22060045
220600,22060060
220600,22060090
220710,22071030
220710,22071060
220720,22072000
220820,22082010
220820,22082020
220820,22082030
220820,22082040
220820,22082050
220820,22082060
220830,22083030
220830,22083060
220840,22084020
220840,22084040
220840,22084060
220840,22084080
220850,22085000
220860,22086010
220860,22086020
220860,22086050
220870,22087000
220890,22089001
220890,22089005
220890,22089010
220890,22089012
220890,22089014
220890,22089015
220890,22089020
220890,22089025
220890,22089030
220890,22089035
220890,22089040
220890,22089046
220890,22089050
220890,22089055
220890,22089071
220890,22089072
220890,22089075
220890,22089080
220900,22090000
230110,23011000
230120,23012000
230210,23021000
230230,23023000
230240,23024001
230250,23025000
230310,23031000
230320,23032000
230330,23033000
230400,23040000
230500,23050000
230610,23061000
230620,23062000
230630,23063000
230641,23064100
