hs6,hts8,n_h8,s_h8_in_h6,w8_main,W6
040291,04029170,4,0.8470010134019392,5690960,6718953
040291,04029190,4,0.008640036624753886,58052,6718953
040299,04029910,4,0.2121548553273855,9749877,45956417
040299,04029945,4,0.7824719668637352,35959608,45956417
040299,04029970,4,9.139093676515295e-5,4200,45956417
040299,04029990,4,0.005281786872114073,242732,45956417
040310,04031005,2,0.05283330417340119,1611033,30492755
040310,04031090,2,0.9471666958265988,28881722,30492755
040390,04039004,7,0.021753394726426213,78373,3602794
040390,04039016,7,0.07719453290973617,278116,3602794
040390,04039041,7,0.024554276486526846,88464,3602794
040390,04039055,7,0.058957575703745484,212412,3602794
040390,04039078,7,6.200743089946303e-4,2234,3602794
040390,04039085,7,0.802481351972941,2891175,3602794
040390,04039095,7,0.014438793891629663,52020,3602794
040410,04041005,7,0.9300380036491952,24393778,26228797
040410,04041008,7,8.89480367704245e-5,2333,26228797
040410,04041011,7,0.002144932533505063,56259,26228797
040410,04041015,7,8.537181480340101e-4,22392,26228797
040410,04041020,7,0.065694816273884,1723096,26228797
040410,04041048,7,2.2806993397371598e-4,5982,26228797
040410,04041050,7,9.515114246375844e-4,24957,26228797
040490,04049010,4,0.9790006579919545,273909284,279784576
040490,04049030,4,0.0013821669712057321,386709,279784576
040490,04049050,4,0.0062291103566767024,1742809,279784576
040490,04049070,4,0.01338806468016307,3745774,279784576
040510,04051005,3,3.5069662910400105e-4,12525,35714629
040510,04051010,3,0.7179241873127116,25640396,35714629
040510,04051020,3,0.28172511605818445,10061708,35714629
040520,04052040,2,0.8663891785108616,2525281,2914719
040520,04052080,2,0.13361082148913841,389438,2914719
040590,04059005,3,0.030442925059966423,1031565,33885213
040590,04059010,3,0.5903309210421667,20003489,33885213
040590,04059020,3,0.3792261538978669,12850159,33885213
040610,04061004,13,0.10421510930849746,4131007,39639233
040610,04061008,13,0.011827928153907518,468850,39639233
040610,04061012,13,0.0030439287258661133,120659,39639233
040610,04061018,13,9.885155951428223e-4,39184,39639233
040610,04061028,13,0.004734274247940166,187663,39639233
040610,04061038,13,2.3875335832053058e-4,9464,39639233
040610,04061044,13,0.0018438802789145794,73090,39639233
040610,04061048,13,0.007428675524574353,294467,39639233
040610,04061058,13,0.09479688973800275,3757676,39639233
040610,04061078,13,0.01904988928519379,755123,39639233
040610,04061084,13,0.10748548035730157,4260642,39639233
040610,04061088,13,0.031903997738805895,1264650,39639233
040610,04061095,13,0.6124426776875325,24276758,39639233
040620,04062048,8,0.01637618357695189,19848,1212004
040620,04062053,8,0.08833056656578692,107057,1212004
040620,04062054,8,0.05836531892634018,70739,1212004
040620,04062055,8,0.7917737895254471,959633,1212004
040620,04062067,8,0.003968633766885258,4810,1212004
040620,04062079,8,0.0035692951508410863,4326,1212004
040620,04062089,8,0.03586621826330606,43470,1212004
040620,04062095,8,0.0017499942244415035,2121,1212004
040630,04063024,18,0.06284533051600058,1785010,28403224
040630,04063028,18,0.01742323336252251,494876,28403224
040630,04063044,18,5.338126404241997e-4,15162,28403224
040630,04063051,18,0.3370896557376726,9574433,28403224
040630,04063053,18,0.0040703125814168135,115610,28403224
040630,04063055,18,0.0035085101606775345,99653,28403224
040630,04063063,18,0.001214263563882748,34489,28403224
040630,04063065,18,0.06530149535137279,1854773,28403224
040630,04063067,18,0.03308895497215387,939833,28403224
040630,04063069,18,0.0010212220978857893,29006,28403224
040630,04063073,18,0.009342108487402698,265346,28403224
040630,04063077,18,2.957410750272575e-4,8400,28403224
040630,04063079,18,4.13826261413141e-4,11754,28403224
040630,04063081,18,0.056133838890965335,1594382,28403224
040630,04063083,18,0.0036210678055420753,102850,28403224
040630,04063089,18,0.2711738639247432,7702212,28403224
040630,04063091,18,0.11810081841413496,3354444,28403224
040630,04063095,18,0.014821944156761923,420991,28403224
040640,04064020,7,0.07003762823900972,2553971,36465698
040640,04064040,7,0.03136558636557567,1143768,36465698
040640,04064044,7,0.12035384596230682,4388787,36465698
040640,04064048,7,0.02349279040264086,856681,36465698
040640,04064054,7,0.4084081977534065,14892890,36465698
040640,04064058,7,0.17513099570999574,6386274,36465698
040640,04064070,7,0.1712109555670647,6243327,36465698
040690,04069008,28,0.04205691008270412,41564554,988293099
040690,04069012,28,0.009610118708316509,9497614,988293099
040690,04069016,28,0.0342732596577607,33872026,988293099
040690,04069018,28,0.002231957303184609,2205828,988293099
040690,04069020,28,2.50065491957867e-4,247138,988293099
040690,04069025,28,7.587931158871727e-4,749910,988293099
040690,04069033,28,1.1572174298871634e-4,114367,988293099
040690,04069041,28,0.07438805256698448,73517199,988293099
040690,04069042,28,0.10241445994352734,101215504,988293099
040690,04069043,28,2.6358779623533523e-4,260502,988293099
040690,04069044,28,1.6068107746647334e-5,15880,988293099
040690,04069046,28,0.10668701127902948,105438037,988293099
040690,04069048,28,3.625887910808937e-4,358344,988293099
040690,04069056,28,0.14511810832749727,143419225,988293099
040690,04069057,28,0.06470867100530063,63951133,988293099
040690,04069059,28,0.004511858885296132,4459039,988293099
040690,04069061,28,5.663097319674798e-5,55968,988293099
040690,04069063,28,3.7599169758039565e-5,37159,988293099
040690,04069068,28,1.919956743520679e-4,189748,988293099
040690,04069072,28,2.0317859165785797e-6,2008,988293099
040690,04069074,28,8.171361317984878e-5,80757,988293099
040690,04069084,28,4.1822613192202405e-5,41333,988293099
040690,04069088,28,1.8452724215572004e-4,182367,988293099
040690,04069090,28,0.002954962452894756,2920369,988293099
040690,04069092,28,4.375847614817758e-4,432462,988293099
040690,04069095,28,0.2368982655417692,234124921,988293099
040690,04069097,28,0.04693763221349783,46388138,988293099
040690,04069099,28,0.12440800115310731,122951569,988293099
040711,04071100,1,1,1672328,1672328
040719,04071900,1,1,16315523,16315523
040721,04072100,1,1,452204,452204
040729,04072900,1,1,785490,785490
040790,04079000,1,1,7859502,7859502
040811,04081100,1,1,199104,199104
040819,04081900,1,1,3479666,3479666
